camera_type,camera_ref,camera_name,content_ref,sha256,old_case_folder,new_case_folder,shared_camera
text,m001,orbiting_right,c001,5623d99dd26138f62340740a3cc014eab908723426521a8a3c3de48bbfae5900,video/demos/text/video/01_orbiting_right_c001,video/demos/text/video/01_m001_c001,video/cameras/text/m001_orbiting_right.txt
text,m001,orbiting_right,c004,5623d99dd26138f62340740a3cc014eab908723426521a8a3c3de48bbfae5900,video/demos/text/video/24_orbiting_right_c004,video/demos/text/video/24_m001_c004,video/cameras/text/m001_orbiting_right.txt
text,m001,orbiting_right,,5623d99dd26138f62340740a3cc014eab908723426521a8a3c3de48bbfae5900,video/demos/text/video/40_orbiting_right,video/demos/text/video/40_m001,video/cameras/text/m001_orbiting_right.txt
text,m001,orbiting_right,,5623d99dd26138f62340740a3cc014eab908723426521a8a3c3de48bbfae5900,video/demos/text/video/41_orbiting_right,video/demos/text/video/41_m001,video/cameras/text/m001_orbiting_right.txt
text,m001,orbiting_right,,5623d99dd26138f62340740a3cc014eab908723426521a8a3c3de48bbfae5900,video/demos/text/video/42_orbiting_right,video/demos/text/video/42_m001,video/cameras/text/m001_orbiting_right.txt
text,m002,orbiting_right_down,,8ed4268802cd9b9ccb730e1387f5ef208826ff0f35063281a688560018115aa9,video/demos/text/text/01_orbiting_right_down,video/demos/text/text/01_m002,video/cameras/text/m002_orbiting_right_down.txt
text,m002,orbiting_right_down,,8ed4268802cd9b9ccb730e1387f5ef208826ff0f35063281a688560018115aa9,video/demos/text/text/02_orbiting_right_down,video/demos/text/text/02_m002,video/cameras/text/m002_orbiting_right_down.txt
text,m002,orbiting_right_down,,8ed4268802cd9b9ccb730e1387f5ef208826ff0f35063281a688560018115aa9,video/demos/text/text/03_orbiting_right_down,video/demos/text/text/03_m002,video/cameras/text/m002_orbiting_right_down.txt
text,m002,orbiting_right_down,,8ed4268802cd9b9ccb730e1387f5ef208826ff0f35063281a688560018115aa9,video/demos/text/text/15_orbiting_right_down,video/demos/text/text/15_m002,video/cameras/text/m002_orbiting_right_down.txt
text,m002,orbiting_right_down,,8ed4268802cd9b9ccb730e1387f5ef208826ff0f35063281a688560018115aa9,video/demos/text/text/20_orbiting_right_down,video/demos/text/text/20_m002,video/cameras/text/m002_orbiting_right_down.txt
text,m003,truck_right,c001,85f5ea3a5e80d472dab315c48ebd8acb862933ed5c1e4d710c14271c917e4a6f,video/demos/text/image/01_truck_right_c001,video/demos/text/image/01_m003_c001,video/cameras/text/m003_truck_right.txt
text,m003,truck_right,c001,85f5ea3a5e80d472dab315c48ebd8acb862933ed5c1e4d710c14271c917e4a6f,video/demos/text/video/06_truck_right_c001,video/demos/text/video/06_m003_c001,video/cameras/text/m003_truck_right.txt
text,m003,truck_right,c004,85f5ea3a5e80d472dab315c48ebd8acb862933ed5c1e4d710c14271c917e4a6f,video/demos/text/video/21_truck_right_c004,video/demos/text/video/21_m003_c004,video/cameras/text/m003_truck_right.txt
text,m004,orbiting_left,c001,2488deab703edf4327eeb5659e9ead5cf1f1b1f9833ab3c04db96644a18b5eb5,video/demos/text/video/02_orbiting_left_c001,video/demos/text/video/02_m004_c001,video/cameras/text/m004_orbiting_left.txt
text,m004,orbiting_left,c004,2488deab703edf4327eeb5659e9ead5cf1f1b1f9833ab3c04db96644a18b5eb5,video/demos/text/video/22_orbiting_left_c004,video/demos/text/video/22_m004_c004,video/cameras/text/m004_orbiting_left.txt
text,m005,truck_left,c001,175f90d80cda6dd1a7dbde58c82fa89b0b8edae4a079fda8306b50d39ce83ffe,video/demos/text/image/02_truck_left_c001,video/demos/text/image/02_m005_c001,video/cameras/text/m005_truck_left.txt
text,m005,truck_left,c011,175f90d80cda6dd1a7dbde58c82fa89b0b8edae4a079fda8306b50d39ce83ffe,video/demos/text/image/13_truck_left_c011,video/demos/text/image/13_m005_c011,video/cameras/text/m005_truck_left.txt
text,m005,truck_left,c012,175f90d80cda6dd1a7dbde58c82fa89b0b8edae4a079fda8306b50d39ce83ffe,video/demos/text/image/14_truck_left_c012,video/demos/text/image/14_m005_c012,video/cameras/text/m005_truck_left.txt
text,m005,truck_left,c013,175f90d80cda6dd1a7dbde58c82fa89b0b8edae4a079fda8306b50d39ce83ffe,video/demos/text/image/15_truck_left_c013,video/demos/text/image/15_m005_c013,video/cameras/text/m005_truck_left.txt
text,m005,truck_left,c004,175f90d80cda6dd1a7dbde58c82fa89b0b8edae4a079fda8306b50d39ce83ffe,video/demos/text/video/19_truck_left_c004,video/demos/text/video/19_m005_c004,video/cameras/text/m005_truck_left.txt
text,m006,roll_clockwise,c001,9fcdb0da69180fdeb7e3da08d949dfdfd8f5f07cbfb39132f29813f5e7b8ce7b,video/demos/text/video/03_roll_clockwise_c001,video/demos/text/video/03_m006_c001,video/cameras/text/m006_roll_clockwise.txt
text,m006,roll_clockwise,c004,9fcdb0da69180fdeb7e3da08d949dfdfd8f5f07cbfb39132f29813f5e7b8ce7b,video/demos/text/video/16_roll_clockwise_c004,video/demos/text/video/16_m006_c004,video/cameras/text/m006_roll_clockwise.txt
text,m007,zoom_in,c001,3607ee804641eff57f861efa8323d2cca36bbb1dfda3824b3816b0935856894c,video/demos/text/image/03_zoom_in_c001,video/demos/text/image/03_m007_c001,video/cameras/text/m007_zoom_in.txt
