content_type,content_ref,sha256,old_case_folder,new_case_folder,shared_content
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/trajectory/image/01_slide_21_case_1,video/demos/trajectory/image/01_slide_21_case_1_c001,video/contents/image/c001.png
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/text/image/01_truck_right,video/demos/text/image/01_truck_right_c001,video/contents/image/c001.png
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/trajectory/image/02_slide_21_case_2,video/demos/trajectory/image/02_slide_21_case_2_c001,video/contents/image/c001.png
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/text/image/02_truck_left,video/demos/text/image/02_truck_left_c001,video/contents/image/c001.png
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/trajectory/image/03_slide_21_case_3,video/demos/trajectory/image/03_slide_21_case_3_c001,video/contents/image/c001.png
image,c001,30ef1711ab97175868242b85ca3087adbc720bd316a6a1ed8fb48ce0d2b812ca,video/demos/text/image/03_zoom_in,video/demos/text/image/03_zoom_in_c001,video/contents/image/c001.png
image,c002,1f24763e47cd62378d9020a09b26401b71e93a20dddd1fc80049bad32ae3b76d,video/demos/text/image/04_arc_left,video/demos/text/image/04_arc_left_c002,video/contents/image/c002.png
image,c002,1f24763e47cd62378d9020a09b26401b71e93a20dddd1fc80049bad32ae3b76d,video/demos/text/image/05_zoom_in,video/demos/text/image/05_zoom_in_c002,video/contents/image/c002.png
image,c002,1f24763e47cd62378d9020a09b26401b71e93a20dddd1fc80049bad32ae3b76d,video/demos/text/image/06_zoom_out,video/demos/text/image/06_zoom_out_c002,video/contents/image/c002.png
image,c003,2bcf4bc66b0c4b60f4d9f08939dc8957302b37469c563eec5d90da4be4dc3bfd,video/demos/trajectory/image/04_slide_21_case_4,video/demos/trajectory/image/04_slide_21_case_4_c003,video/contents/image/c003.png
image,c003,2bcf4bc66b0c4b60f4d9f08939dc8957302b37469c563eec5d90da4be4dc3bfd,video/demos/trajectory/image/05_slide_21_case_5,video/demos/trajectory/image/05_slide_21_case_5_c003,video/contents/image/c003.png
image,c003,2bcf4bc66b0c4b60f4d9f08939dc8957302b37469c563eec5d90da4be4dc3bfd,video/demos/trajectory/image/06_slide_21_case_6,video/demos/trajectory/image/06_slide_21_case_6_c003,video/contents/image/c003.png
image,c003,2bcf4bc66b0c4b60f4d9f08939dc8957302b37469c563eec5d90da4be4dc3bfd,video/demos/text/image/23_slide_19_case_23,video/demos/text/image/23_slide_19_case_23_c003,video/contents/image/c003.png
image,c004,73d786bcce34f5bde75e8028723c871ec067105b146232b2a6189873f5caf333,video/demos/text/image/07_pan_right,video/demos/text/image/07_pan_right_c004,video/contents/image/c004.png
image,c005,651b169367f64857dc3e5f08ba780536429029dd46d49981f180a2100483b064,video/demos/trajectory/image/07_slide_21_case_7,video/demos/trajectory/image/07_slide_21_case_7_c005,video/contents/image/c005.png
image,c005,651b169367f64857dc3e5f08ba780536429029dd46d49981f180a2100483b064,video/demos/trajectory/image/08_slide_21_case_8,video/demos/trajectory/image/08_slide_21_case_8_c005,video/contents/image/c005.png
image,c005,651b169367f64857dc3e5f08ba780536429029dd46d49981f180a2100483b064,video/demos/trajectory/image/09_slide_21_case_9,video/demos/trajectory/image/09_slide_21_case_9_c005,video/contents/image/c005.png
image,c006,a83e4ab9fa3984d72c1bb67ac05cea27c3862af178e3f10ea27e76b8850120a8,video/demos/text/image/08_pan_right,video/demos/text/image/08_pan_right_c006,video/contents/image/c006.png
image,c007,2556601b1127d764b05ec94ecaa53a011adeeda71feb022d3dcef8bce0053647,video/demos/text/image/09_pan_right,video/demos/text/image/09_pan_right_c007,video/contents/image/c007.png
image,c007,2556601b1127d764b05ec94ecaa53a011adeeda71feb022d3dcef8bce0053647,video/demos/text/image/18_slide_18_case_18,video/demos/text/image/18_slide_18_case_18_c007,video/contents/image/c007.png
image,c008,28476f17f8c5b5fd9a75a5f00c5be1c77598b363f5ec8480acfb7b4794de19e1,video/demos/text/image/10_slide_17_case_10,video/demos/text/image/10_slide_17_case_10_c008,video/contents/image/c008.png
image,c009,8e7533e32d753482de97eea18cb49414ef74ae44138e4bed99b69cf0f8a50266,video/demos/text/image/11_slide_17_case_11,video/demos/text/image/11_slide_17_case_11_c009,video/contents/image/c009.png
image,c010,79f58a3eb916b6a0f529b8c250def43a5007513758de0cb0f3e6be9527b0fa4c,video/demos/text/image/12_slide_17_case_12,video/demos/text/image/12_slide_17_case_12_c010,video/contents/image/c010.png
image,c011,b35d881fc9e5b5ab6ecb4f1da81c43d6ba4db8efe869790f793e90498ae4dbf4,video/demos/text/image/13_truck_left,video/demos/text/image/13_truck_left_c011,video/contents/image/c011.png
image,c012,47a568aec78a0df69dad0965bf986c7a7ac8e7d4a61787d78b2fd0aaa85da05a,video/demos/text/image/14_truck_left,video/demos/text/image/14_truck_left_c012,video/contents/image/c012.png
image,c013,050d73b0c90e2e68789ff9d71990d0cf6967b5374e7333b8bd0a8fa0911a71bb,video/demos/text/image/15_truck_left,video/demos/text/image/15_truck_left_c013,video/contents/image/c013.png
image,c013,050d73b0c90e2e68789ff9d71990d0cf6967b5374e7333b8bd0a8fa0911a71bb,video/demos/text/image/22_slide_19_case_22,video/demos/text/image/22_slide_19_case_22_c013,video/contents/image/c013.png
image,c014,2f8a009e5c31c2951d99ffaad701427b848b05f9873361863e1f865844452be3,video/demos/text/image/16_slide_18_case_16,video/demos/text/image/16_slide_18_case_16_c014,video/contents/image/c014.png
image,c015,ff48f7a200281efea90c2df0fa0c9a8e1150739f54fbc280a8d601f1078ba476,video/demos/text/image/17_slide_18_case_17,video/demos/text/image/17_slide_18_case_17_c015,video/contents/image/c015.png
image,c016,a88eb399a002dff789be200192c774f90906887fb22b463283ea7448fdcfdc17,video/demos/trajectory/image/18_slide_23_case_18,video/demos/trajectory/image/18_slide_23_case_18_c016,video/contents/image/c016.png
image,c017,024b01f50d10fe4b261cadfb0299a454a34349413846359feb5a92b6bf00b075,video/demos/reference/image/18_slide_26_case_18,video/demos/reference/image/18_slide_26_case_18_c017,video/contents/image/c017.png
